30 2.3333333333333335 1.0 0.0 3.3333333333333335 0.7000000000000001 0.3 0.0
60 2.0 4.666666666666667 0.0 6.666666666666667 0.3 0.7000000000000001 0.0
90 4.0 6.0 0.0 10.0 0.4 0.6 0.0
120 7.0 6.333333333333333 0.0 13.333333333333332 0.525 0.47500000000000003 0.0
150 8.0 8.666666666666666 0.0 16.666666666666664 0.4800000000000001 0.52 0.0
180 10.0 10.0 0.0 20.0 0.5 0.5 0.0
210 12.666666666666666 10.666666666666666 0.0 23.333333333333332 0.5428571428571428 0.45714285714285713 0.0
240 15.333333333333334 11.333333333333334 0.0 26.666666666666668 0.575 0.425 0.0
270 19.0 11.0 0.0 30.0 0.6333333333333333 0.36666666666666664 0.0
300 17.666666666666668 15.666666666666666 0.0 33.333333333333336 0.53 0.47 0.0
330 17.0 19.666666666666668 0.0 36.66666666666667 0.46363636363636357 0.5363636363636364 0.0
360 21.666666666666668 18.333333333333332 0.0 40.0 0.5416666666666667 0.4583333333333333 0.0
390 22.333333333333332 21.0 0.0 43.33333333333333 0.5153846153846154 0.48461538461538467 0.0
420 22.666666666666668 24.0 0.0 46.66666666666667 0.4857142857142857 0.5142857142857142 0.0
450 27.333333333333332 22.666666666666668 0.0 50.0 0.5466666666666666 0.45333333333333337 0.0
480 26.0 27.333333333333332 0.0 53.33333333333333 0.48750000000000004 0.5125000000000001 0.0
510 28.333333333333332 28.333333333333332 0.0 56.666666666666664 0.5 0.5 0.0
540 30.666666666666668 29.333333333333332 0.0 60.0 0.5111111111111112 0.4888888888888889 0.0
570 33.666666666666664 29.666666666666668 0.0 63.33333333333333 0.531578947368421 0.468421052631579 0.0
600 34.0 32.666666666666664 0.0 66.66666666666666 0.5100000000000001 0.49000000000000005 0.0
